1, 0.002426, -0.001526, 0.000153, 12, -37, 206, 517, 0, 0, 583, 41, 65242, 542
4184, 0.005020, 0.000763, 0.002563, -108, -44, -571, 900, 0, 0, 541, 506, 495, 577
9192, 0.006241, 0.002472, 0.007645, 45, -141, -48, 909, 0, 0, 544, 1054, 378, 295
14200, 0.007477, 0.002701, 0.007477, 6, -163, 196, 914, 0, 0, 547, 65505, 74, 298
19208, 0.008759, 0.003540, 0.008652, 49, -297, 441, 913, 0, 0, 549, 250, 199, 305
24216, 0.009827, 0.004135, 0.008911, -411, -56, 326, 921, 0, 0, 549, 61, 150, 263
29224, 0.010300, 0.005035, 0.010315, 8, -187, 192, 923, 0, 0, 550, 297, 212, 139
34232, 0.010483, 0.005325, 0.012238, -11, 81, 287, 922, 0, 0, 550, 403, 83, 80
39240, 0.010651, 0.005325, 0.012558, -76, -30, 107, 923, 0, 0, 551, 74, 25, 78
44248, 0.010605, 0.005798, 0.012573, 89, -130, 206, 917, 0, 0, 553, 12, 123, 28
49256, 0.010590, 0.005264, 0.012238, -10, -179, 280, 931, 0, 0, 556, 65472, 65446, 37
54264, 0.010544, 0.004120, 0.009811, -82, -41, 518, 936, 0, 0, 558, 65042, 65320, 35
59272, 0.010605, 0.003677, 0.011398, 75, 79, -159, 931, 0, 0, 559, 334, 65466, 58
64280, 0.010391, 0.002625, 0.008423, 290, -114, 632, 941, 0, 0, 560, 64928, 65338, 65535
69288, 0.010391, 0.001999, 0.009460, 37, 67, 552, 938, 0, 0, 560, 221, 65428, 45
74296, 0.010773, 0.000580, 0.008438, -92, 104, -4, 940, 0, 0, 557, 65331, 65266, 126
79304, 0.012222, -0.005264, 0.006561, 44, -509, 202, 930, 0, 0, 553, 65155, 64356, 353
84312, 0.013962, -0.006516, 0.006516, 532, 270, 441, 926, 0, 0, 553, 65535, 65301, 402
89320, 0.015640, -0.003952, 0.000809, 287, -13, 863, 935, 0, 0, 557, 64367, 554, 386
94328, 0.016556, -0.001068, 0.005447, 202, -372, -354, 934, 0, 0, 561, 966, 617, 231
99336, 0.017258, 0.000946, 0.006989, -4, 19, 450, 943, 0, 0, 561, 325, 439, 186
104344, 0.017731, 0.002625, 0.009155, 217, 1, 429, 943, 0, 0, 562, 455, 371, 139
