1, 0.000015, -0.000046, 0.000076, 0, -5, 201, 509, 0, 0, 581, 42, 65535, 19
4458, 0.000000, -0.000076, 0.000107, 8, -40, 219, 894, 0, 0, 511, 33, 0, 10
6962, 0.000015, 0.000000, 0.000168, -52, 3, 191, 894, 0, 0, 511, 40, 25, 17
9466, 0.000015, 0.000198, 0.000534, -92, -35, 191, 896, 0, 0, 511, 103, 51, 13
11970, 0.000015, -0.000107, 0.000381, 107, -145, 401, 896, 0, 0, 511, 65527, 65481, 12
14474, 0.000015, -0.000061, 0.000381, 35, 132, 108, 893, 0, 0, 511, 25, 19, 14
16978, 0.000031, -0.000259, 0.000534, -168, -43, 267, 897, 0, 0, 511, 57, 65501, 17
19482, 0.000046, -0.000427, 0.000580, 33, 37, 111, 897, 0, 0, 511, 37, 65509, 19
21986, 0.000046, -0.000183, 0.000580, -60, -37, 225, 896, 0, 0, 512, 24, 62, 13
24490, 0.000046, -0.000168, 0.000565, -9, 107, 213, 896, 0, 0, 512, 21, 14, 15
26994, 0.000046, -0.000198, 0.000656, 33, -51, 165, 897, 0, 0, 511, 45, 1, 16
29498, 0.000046, 0.000076, 0.000977, -82, 18, 185, 897, 0, 0, 511, 94, 68, 13
32002, 0.000061, 0.000000, 0.001022, -137, 75, 236, 896, 0, 0, 512, 35, 65528, 17
34506, 0.000061, 0.000168, 0.001205, -59, 10, 125, 897, 0, 0, 511, 66, 44, 16
37010, 0.000061, 0.000214, 0.001266, -37, 0, 322, 897, 0, 0, 511, 40, 20, 12
39514, 0.000076, 0.000366, 0.001389, 123, 26, 85, 897, 0, 0, 511, 53, 42, 19
42018, 0.000107, 0.000427, 0.001663, -77, -134, 111, 896, 0, 0, 512, 82, 23, 20
44522, 0.000122, 0.000290, 0.001648, -10, -178, 262, 898, 0, 0, 511, 19, 65514, 18
47026, 0.000153, 0.000122, 0.001480, -35, -27, 277, 898, 0, 0, 511, 65524, 65510, 21
49530, 0.000168, -0.000031, 0.001587, 230, -144, 37, 897, 0, 0, 512, 48, 65512, 17
52034, 0.000168, -0.000336, 0.001389, 284, 137, 188, 895, 0, 0, 512, 65520, 65479, 16
54538, 0.000168, -0.000214, 0.001358, 64, 99, 214, 899, 0, 0, 512, 18, 35, 11
57042, 0.000198, -0.000595, 0.001678, 55, 56, 213, 898, 0, 0, 512, 92, 65464, 22
59546, 0.000214, -0.000732, 0.001740, 29, 74, 107, 899, 0, 0, 512, 38, 65516, 18
62050, 0.000244, -0.001312, 0.001373, -11, -11, -68, 899, 0, 0, 512, 65484, 65424, 22
64554, 0.000244, -0.001968, 0.000504, 112, 11, 239, 899, 0, 0, 512, 65379, 65408, 15
67058, 0.000275, -0.002411, -0.000443, 172, 77, 320, 895, 0, 0, 512, 65364, 65453, 20
69562, 0.000259, -0.002655, -0.000397, 92, -296, 220, 898, 0, 0, 512, 36, 65493, 7
72066, 0.000290, -0.002533, -0.000671, 106, -65, 261, 898, 0, 0, 511, 65504, 35, 20
74570, 0.000305, -0.002075, 0.000259, 17, -186, 94, 896, 0, 0, 511, 217, 105, 19
77074, 0.000305, -0.002167, 0.000626, -35, -35, 81, 895, 0, 0, 511, 102, 65525, 13
79578, 0.000336, -0.001801, 0.000122, -106, -28, 203, 895, 0, 0, 511, 65455, 86, 20
82082, 0.000381, -0.002090, 0.000061, -86, 38, 301, 895, 0, 0, 511, 11, 65483, 24
84586, 0.000397, -0.001755, 0.000336, -8, 5, 256, 895, 0, 0, 511, 84, 78, 18
87090, 0.000412, -0.001907, 0.000427, -53, 23, 164, 894, 0, 0, 511, 47, 65512, 19
